country,gdppc,erg,pop
Algeria,1466.7,2.5," 32,854 "
Macedonia,#N/A,3.4,#N/A
Belarus,1557.2,6.4," 9,776 "
Bosnia and Herzegovina,1080.4,3.7," 3,915 "
Panama,3383.1,4.1," 3,232 "
Colombia,2191.8,1.6," 44,946 "
Dominican Republic,1673.8,1.8," 9,470 "
Kazakhstan,1461.4,10.8," 15,147 "
Namibia,1682.8,1.7," 2,020 "
Iran,#N/A,6.2,#N/A
Tunisia,1975.5,2.1," 10,029 "
Cuba,#N/A,2.3,#N/A
Turkey,2779.5,3.0," 72,065 "
Bulgaria,1645.6,6.7," 7,740 "
Thailand,1775.5,3.3," 63,003 "
Brazil,4216.3,2.9," 186,831 "
Romania,1946.7,4.6," 21,634 "
Costa Rica,3258.3,2.4," 4,327 "
Uruguay,6767.3,2.6," 3,306 "
Botswana,2598.8,1.7," 1,836 "
Russia,#N/A,12.1,#N/A
Mexico,4083.9,3.8," 103,089 "
Malaysia,2813.5,5.9," 25,653 "
Other Latin America,#N/A,#N/A,#N/A
Chile,4871.0,4.5," 16,295 "
South Africa,2863.9,6.3," 46,892 "
Brunei,#N/A,16.3,#N/A
Latvia,2926.6,4.6," 2,301 "
Trinidad and Tobago,4565.7,29.1," 1,324 "
Croatia,4866.7,5.4," 4,443 "
Poland,4530.3,5.5," 38,165 "
Lithuania,3272.9,5.6," 3,414 "
Argentina,7719.2,4.4," 38,747 "
Saudi Arabia,6305.3,15.9," 23,119 "
Slovakia,#N/A,8.5,#N/A
Estonia,4231.6,10.3," 1,346 "
Oman,5618.4,10.9," 2,507 "
Hungary,4792.0,6.5," 10,087 "
Czech Republic,5945.0,10.0," 10,403 "
Portugal,11227.0,6.1," 10,549 "
Malta,9620.8,5.8, 404 
Kuwait,10233.1,26.7," 2,535 "
Greece,14125.0,7.3," 11,104 "
South Korea,#N/A,#N/A,#N/A
Slovenia,10514.8,9.1," 2,001 "
Bahrain,8531.5,37.5, 725 
Taiwan,#N/A,11.4,#N/A
Cyprus,#N/A,8.7,#N/A
United Arab Emirates,11817.0,30.7," 4,104 "
Israel,15606.2,7.2," 6,924 "
Spain,13845.0,8.8," 43,398 "
New Zealand,13392.2,11.9," 4,134 "
Italy,20767.4,8.0," 58,607 "
Singapore,18978.0,27.6," 4,342 "
Germany,26488.3,10.1," 82,469 "
Japan,30071.0,10.1," 127,773 "
France,24194.1,10.5," 60,873 "
United Kingdom,23670.2,9.6," 60,227 "
Belgium,24347.7,14.2," 10,479 "
Finland,24836.7,13.9," 5,246 "
Netherlands,24672.9,14.9," 16,320 "
Sweden,27700.6,14.9," 9,024 "
Denmark,32063.1,8.8," 5,416 "
Australia,18715.8,15.6," 20,400 "
Austria,25973.8,10.8," 8,233 "
Canada,19088.3,25.7," 32,312 "
Iceland,27784.4,27.7, 297 
Switzerland,36187.7,9.7," 7,437 "
Qatar,#N/A,61.8,#N/A
Ireland,21214.8,9.2," 4,159 "
United States,29323.4,19.6," 296,507 "
Norway,32454.8,26.1," 4,623 "
